;ID_natural;SMILES;NumAtoms;MolWt;MolLogp;HAcceptors;HDonors;RindCount;tpsa;RotableBonds;MolecularFormula
1789;SN0000890;CCc1cccc(CC2C(OC(=O)/C=C/c3ccc(O)c(O)c3)C(O)(OC(=O)/C=C/c3ccc(O)c(O)c3)C(O)CC2(O)C(=O)O)c1;47;650.199941148;2.3808000000000007;12;8;4;231.50999999999996;10;C34H34O13
1790;SN0000890;CCc1cccc(C[C@H]2[C@@H](OC(=O)/C=C/c3ccc(O)c(O)c3)[C@@](O)(OC(=O)/C=C/c3ccc(O)c(O)c3)[C@H](O)C[C@]2(O)C(=O)O)c1;47;650.199941148;2.3808000000000007;12;8;4;231.50999999999996;10;C34H34O13
1791;SN0000890;CCc1cccc(C[C@@H]2[C@@H](OC(=O)C=Cc3ccc(O)c(O)c3)[C@@](O)(OC(=O)C=Cc3ccc(O)c(O)c3)[C@H](O)C[C@]2(O)C(=O)O)c1;47;650.199941148;2.3808000000000007;12;8;4;231.50999999999996;10;C34H34O13
1792;SN0000891;C=CC#Cc1ccc(-c2ccc(COC(=O)C=C(C)C)s2)s1;22;328.059171752;5.023500000000003;4;0;2;26.3;4;C18H16O2S2
1793;SN0000892;COC(=O)CC(C1=C(O)C(=O)c2ccccc2C1=O)c1cc(OC)c2c(c1)OCCO2;31;424.11581759999996;3.0044000000000013;8;1;4;108.36000000000001;5;C23H20O8
1794;SN0000892;COC(=O)C[C@H](C1=C(O)C(=O)c2ccccc2C1=O)c1cc(OC)c2c(c1)OCCO2;31;424.11581759999996;3.0044000000000013;8;1;4;108.36000000000001;5;C23H20O8
1795;SN0000892;COC(=O)C[C@@H](C1=C(O)C(=O)c2ccccc2C1=O)c1cc(OC)c2c(c1)OCCO2;31;424.11581759999996;3.0044000000000013;8;1;4;108.36000000000001;5;C23H20O8
1796;SN0000893;COC(=O)c1cccc2nc(C3CCN(C4CCC4)C3)oc12;22;300.14739249999997;2.9562000000000017;5;0;4;55.57;3;C17H20N2O3
1797;SN0000893;COC(=O)c1cccc2nc([C@@H]3CCN(C4CCC4)C3)oc12;22;300.14739249999997;2.9562000000000017;5;0;4;55.57;3;C17H20N2O3
1798;SN0000893;COC(=O)c1cccc2nc([C@H]3CCN(C4CCC4)C3)oc12;22;300.14739249999997;2.9562000000000017;5;0;4;55.57;3;C17H20N2O3
